Kecamatan,Guru SD (Negeri),Guru SD (Swasta),Guru SMP (Negeri),Guru SMP (Swasta),Guru SMA (Negeri),Guru SMA (Swasta),Guru SMK (Negeri),Guru SMK (Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Guru SMP (Negeri+Swasta),Jumlah Guru SMA (Negeri+Swasta),Jumlah Guru SMK (Negeri+Swasta),Jumlah Guru (Daerah)
Mranggen,494,114,139,121,132,66,-,249,608,260,198,249,1315
Karangawen,323,7,74,40,-,29,60,56,330,114,29,116,589
Guntur,355,-,57,9,52,-,-,35,355,66,52,35,508
Sayung,342,5,72,49,28,8,47,31,347,121,36,78,582
Karangtengah,283,-,63,17,56,19,-,37,283,80,75,37,475
Bonang,328,-,83,42,-,24,-,38,328,125,24,38,515
Demak,485,84,222,54,221,26,167,88,569,276,247,255,1347
Wonosalam,346,31,55,53,-,41,-,116,377,108,41,116,642
Dempet,276,1,62,-,72,-,-,-,277,62,72,-,411
Kebonagung,197,-,42,7,-,-,-,22,197,49,-,22,268
Gajah,236,-,55,23,-,16,-,50,236,78,16,50,380
Karanganyar,302,7,48,-,61,-,-,15,309,48,61,15,433
Mijen,230,-,59,13,53,10,-,50,230,72,63,50,415
Wedung,208,7,60,5,29,23,-,39,215,65,52,39,371
